Modules	Screens Details	Issues details	Query	Answers	Screen status
School Portal	School Portal Layout (SchoolLayout): dedicated portal layout with left sidebar (SchoolDashboardSidebar) + top navbar, responsive handling for small screens.	Minor UI polish/responsiveness may be needed; role-based menu visibility depends on backend permissions setup.	What is done in School Portal base layout?	School portal shell is implemented (sidebar + navbar + main container) and is used across dashboard pages.	Done
School Portal	Dashboard (SchoolDashboard): dashboard landing with summary cards (vehicles/schools/trips), widgets (SchoolTable, RoutesCard, Invoices, DriversCard), and actions (Invite Link + Edit Dashboard).	Most dashboard numbers/widgets appear static/dummy; needs real API integration for counts + lists.	What is done on School Dashboard?	UI dashboard is built with cards and widgets; user can open Invite Link modal and switch to Edit Dashboard screen.	In Progress
School Portal	Invite Link (Dashboard modal): Invite Link action opens modal and navigates to Access Management for link/permissions workflows.	Invite link generation/management depends on backend endpoint + permissions; currently navigation exists.	How invite link works?	Portal provides Invite Link UI; it opens modal and routes user to access management flow.	In Progress
School Portal	Edit Dashboard (Dashboard customization screen): Edit Dashboard mode is available from dashboard (toggle edit view and return back).	May require saving layout/preferences to backend; currently UI toggle exists.	Can school customize dashboard?	UI supports entering edit mode; persistence of changes can be added if required.	In Progress
School Portal	Manage module (Students/Drivers management): Manage screen with tabs for Students & Drivers, table views, selection, modals (Add Student, Edit Student, Edit Driver, License view, delete actions), and attendance CSV export.	Students API is partially integrated; drivers data and some parts may still be dummy. Needs complete CRUD endpoints + validations + pagination/search.	What is completed in Manage module?	Manage UI is built with students/drivers tables, actions/modals, and attendance CSV export. In some cases, students are fetched via API using instituteId.	In Progress
School Portal	Manage → Get Students (API integration): students are requested from `/school/GetStudents` with instituteId resolution from localStorage/user and mapped to table format.	Response mapping has multiple key fallbacks; needs final backend contract and error handling improvements.	Is students listing connected to backend?	Yes: students fetch request exists; response is mapped into UI fields. Needs final consistency + pagination/search and CRUD completion.	In Progress
School Portal	Route Schedules / Schedule screen: schedule UI with bus/time slot buttons (A AM, A PM, etc.), student list, search UI, student side panel (contacts/trip history), and map area placeholder.	Currently uses local dummy data (`@/data`) and a static map image; needs real map + live schedule/trip data APIs.	What is done in Route Schedules screen?	UI layout and interactions (tabs, student panel, search) are implemented; backend data + real map integration is pending.	In Progress
School Portal	Communication screen: communication UI with accordions for Parent/School/Driver/Terminal, nested chat panels, tabs and search.	Currently uses dummy data; real chat (WebSocket/API), message history, attachments, and unread counts integration pending.	What is done in Communication module?	Complete UI structure for communication and chat panels is present; backend real-time chat integration is pending.	In Progress
School Portal	Announcements screen: announcements landing with card preview and “View” dialog, plus “Create Announcement” navigation.	Content appears placeholder; needs announcements list API + details API and permissions.	What is done in Announcements?	UI screen is ready with view dialog and navigation to create announcement.	In Progress
School Portal	Create Announcement form: title, image upload selection, description fields, and submit/cancel navigation back to announcements.	Form currently navigates without saving; needs backend API to upload image (S3) + create announcement record.	Can school create announcements?	UI form is ready; backend integration is required to persist announcements and upload images.	In Progress
School Portal	Trip Planner screen: portal-side trip/route planning UI with terminal sections, filters (date picker), table/map toggles, and create route button (uses CreateTripForm).	Large portions appear UI-only/dummy; needs API integration for terminals/routes/trips and map data.	What is done in Trip Planner?	UI scaffolding is present for planning and creating routes/trips; full backend integration is pending.	In Progress
School Portal	Settings screen: Settings landing with navigation to Profile and Feedback & Support pages.	No major issue; backend persistence depends on Profile/Support implementation.	What is done in Settings?	Settings navigation UI is completed.	Done
School Portal	Profile screen: school profile form (school name, contact name/phones, address, city/state/zip, email/mobile) + profile image upload preview + Save navigation.	Save currently routes back; needs backend API to update profile and upload/store image.	Is Profile editable and saved?	UI allows editing and image preview; backend save integration is pending.	In Progress
School Portal	Feedback & Support screen: multi-tab support categories (report issue/concern/assistance/etc.), chat-like message UI, attachment icons, and send button.	Currently uses dummy initial messages; needs backend ticketing/chat integration + file uploads.	What is done in Feedback & Support?	UI is ready for support chat/tickets; backend integration for sending/storing messages and attachments is pending.	In Progress
School Portal	Notifications screen: alert UI examples (show/hide alerts) for notifications section.	Currently generic/demo alerts; needs real notifications list from backend and read/unread status.	Are notifications connected?	UI exists; backend notifications feed integration pending.	Pending
School Portal	Subscription selection (DashboardSubscription): subscription plan selection UI + API call to `/signup/vendor/package`, then navigate to subscription page.	Depends on vendorSignup flow; needs production payment/IAP alignment and final backend responses.	What is done in subscription selection?	UI allows selecting a plan and hits backend package endpoint; further payment confirmation is handled in next steps.	In Progress
School Portal	Subscription payment (SubscriptionPage): displays selected subscription and posts payment payload to `/signup/vendor/payment`, then routes to success page.	Payload currently includes static values; needs final payment gateway / store purchase validation alignment.	What is done in subscription payment flow?	Subscription payment page hits backend payment endpoint and navigates to success; requires final production payment/in-app subscription integration plan.	In Progress
